x-coordinate,y-coordinate,class
77.25,38.672,left_sleeve
75.319,41.25,left_sleeve
72.744,41.25,left_sleeve
70.169,44.688,left_sleeve
67.594,44.688,left_sleeve
66.95,45.547,left_sleeve
66.95,46.406,left_sleeve
65.663,48.125,left_sleeve
64.375,48.125,left_sleeve
63.088,49.844,left_sleeve
62.444,49.844,left_sleeve
61.156,51.563,left_sleeve
59.869,51.563,left_sleeve
59.225,52.422,left_sleeve
59.225,53.281,left_sleeve
57.938,55.0,left_sleeve
55.363,55.0,left_sleeve
52.788,58.438,left_sleeve
50.856,58.438,left_sleeve
50.213,59.297,left_sleeve
49.569,59.297,left_sleeve
47.638,61.875,left_sleeve
45.063,61.875,left_sleeve
42.488,65.313,left_sleeve
39.913,65.313,left_sleeve
39.269,66.172,left_sleeve
38.625,66.172,left_sleeve
38.625,67.031,left_sleeve
37.338,68.75,left_sleeve
34.119,68.75,left_sleeve
31.544,72.188,left_sleeve
28.969,72.188,left_sleeve
28.325,73.047,left_sleeve
28.325,73.906,left_sleeve
27.038,75.625,left_sleeve
23.819,75.625,left_sleeve
23.175,76.484,left_sleeve
23.175,77.344,left_sleeve
21.888,79.063,left_sleeve
18.669,79.063,left_sleeve
18.025,79.922,left_sleeve
18.025,80.781,left_sleeve
17.381,81.641,left_sleeve
16.738,81.641,left_sleeve
16.094,82.5,left_sleeve
12.875,82.5,left_sleeve
12.231,83.359,left_sleeve
11.588,83.359,left_sleeve
10.3,85.078,left_sleeve
9.656,85.078,left_sleeve
9.013,85.938,left_sleeve
5.15,85.938,left_sleeve
4.506,86.797,left_sleeve
3.863,86.797,left_sleeve
2.575,88.516,left_sleeve
1.931,88.516,left_sleeve
1.288,89.375,left_sleeve
0.644,89.375,left_sleeve
0.644,139.219,left_sleeve
1.931,139.219,left_sleeve
2.575,140.078,left_sleeve
3.863,140.078,left_sleeve
4.506,140.938,left_sleeve
5.15,140.938,left_sleeve
9.656,146.953,left_sleeve
9.656,147.813,left_sleeve
10.3,148.672,left_sleeve
10.3,151.25,left_sleeve
10.944,152.109,left_sleeve
10.944,152.969,left_sleeve
12.875,155.547,left_sleeve
12.875,156.406,left_sleeve
